film_id,category_id,title,release_year,language_id,rental_duration,rental_rate,length,replacement_cost,rating
1,11,AFFAIR PREJUDICE,2010,1,5,2.99,117,26.99,G
2,11,AIRPORT POLLOCK,2016,6,6,4.99,54,15.99,R
3,11,ALABAMA DEVIL,2011,3,3,2.99,114,21.99,PG-13
4,11,ALI FOREVER,2008,1,4,4.99,150,21.99,PG
5,16,BASIC EASY,2007,3,4,2.99,90,18.99,PG-13
6,1,CAMPUS REMEMBER,2014,3,5,2.99,167,27.99,R
7,15,CARIBBEAN LIBERTY,2015,5,3,4.99,92,16.99,NC-17
8,2,CAROL TEXAS,2006,2,4,2.99,151,15.99,PG
9,1,CASUALTIES ENCINO,2013,1,3,4.99,179,16.99,G
10,9,CATCH AMISTAD,2016,5,7,0.99,183,10.99,G
11,6,DELIVERANCE MULHOLLAND,2006,4,4,0.99,100,9.99,R
12,16,DESPERATE TRAINSPOTTING,2013,3,7,4.99,81,29.99,G
13,4,DETECTIVE VISION,2013,5,4,0.99,143,16.99,PG-13
14,7,DIARY PANIC,2016,2,7,2.99,107,20.99,G
15,8,EFFECT GLADIATOR,2013,3,6,0.99,107,14.99,PG
16,6,EGG IGBY,2012,1,4,2.99,67,20.99,PG
17,12,ELF MURDER,2007,2,4,4.99,155,19.99,NC-17
18,16,ENOUGH RAGING,2006,1,7,2.99,158,16.99,NC-17
19,15,EVOLUTION ALTER,2008,3,5,0.99,174,10.99,PG-13
